module,function,timing,time
[RLC],serialize_sdu,end,5355594912 
[RLC],generate_tx_pdu,end,5355594916 
[RLC],nr_rlc_entity_am_generate_pdu,start,5355594918 
[RLC],nr_rlc_entity_am_generate_pdu,end,5355594919 
[RLC],generate_tx_pdu,start,5355594921 
[RLC],serialize_sdu,start,5355594923 
[RLC],serialize_sdu,end,5355594925 
[RLC],generate_tx_pdu,end,5355594927 
[NR_MAC],pdu_len 2 is invalid (shorter than MAC PDU header)
[SDAP],sdap_data_req,start,5355762197 
[SDAP],nr_sdap_tx_entity,start,5355762395 
[PDCP],nr_pdcp_data_req_drb,start,5355762403 
[PDCP],deliver_pdu_drb_gnb,start,5355762466 
[PDCP],enqueue_rlc_data_req,start,5355762604 
[PDCP],enqueue_rlc_data_req,end,5355762611 
[PDCP],deliver_pdu_drb_gnb,end,5355762613 
[PDCP],nr_pdcp_data_req_drb,end,5355762622 
[SDAP],nr_sdap_tx_entity,end,5355762627 
[SDAP],sdap_data_req,end,5355762629 
[SDAP],sdap_data_req,start,5355762769 
[SDAP],nr_sdap_tx_entity,start,5355762774 
[PDCP],nr_pdcp_data_req_drb,start,5355762777 
[PDCP],deliver_pdu_drb_gnb,start,5355762780 
[PDCP],enqueue_rlc_data_req,start,5355762921 
[PDCP],enqueue_rlc_data_req,end,5355762951 
[PDCP],deliver_pdu_drb_gnb,end,5355762953 
[PDCP],nr_pdcp_data_req_drb,end,5355762955 
[SDAP],nr_sdap_tx_entity,end,5355762957 
[SDAP],sdap_data_req,end,5355762959 
[SDAP],sdap_data_req,start,5355763003 
[SDAP],nr_sdap_tx_entity,start,5355763007 
[PDCP],nr_pdcp_data_req_drb,start,5355763010 
[PDCP],deliver_pdu_drb_gnb,start,5355763013 
[PDCP],enqueue_rlc_data_req,start,5355763017 
[PDCP],enqueue_rlc_data_req,end,5355763019 
[PDCP],deliver_pdu_drb_gnb,end,5355763021 
[PDCP],nr_pdcp_data_req_drb,end,5355763024 
[SDAP],nr_sdap_tx_entity,end,5355763028 
[SDAP],sdap_data_req,end,5355763030 
[SDAP],sdap_data_req,start,5355763035 
[SDAP],nr_sdap_tx_entity,start,5355763091 
[PDCP],nr_pdcp_data_req_drb,start,5355763093 
[PDCP],deliver_pdu_drb_gnb,start,5355763104 
[PDCP],enqueue_rlc_data_req,start,5355763107 
[PDCP],enqueue_rlc_data_req,end,5355763110 
[PDCP],deliver_pdu_drb_gnb,end,5355763113 
[RLC],nr_rlc_entity_am_recv_sdu,start,5355763120 
[PDCP],nr_pdcp_data_req_drb,end,5355763118 
[SDAP],nr_sdap_tx_entity,end,5355763127 
[RLC],nr_rlc_entity_am_recv_sdu,end,5355763134 
[SDAP],sdap_data_req,end,5355763139 
[SDAP],sdap_data_req,start,5355763159 
[SDAP],nr_sdap_tx_entity,start,5355763161 
[RLC],nr_rlc_entity_am_generate_pdu,start,5355763171 
[PDCP],nr_pdcp_data_req_drb,start,5355763173 
[RLC],nr_rlc_entity_am_generate_pdu,end,5355763176 
[PDCP],deliver_pdu_drb_gnb,start,5355763179 
[RLC],generate_tx_pdu,start,5355763181 
[RLC],serialize_sdu,start,5355763184 
[PDCP],enqueue_rlc_data_req,start,5355763187 
[PDCP],enqueue_rlc_data_req,end,5355763191 
[RLC],serialize_sdu,end,5355763194 
[PDCP],deliver_pdu_drb_gnb,end,5355763196 
[RLC],generate_tx_pdu,end,5355763198 
[PDCP],nr_pdcp_data_req_drb,end,5355763201 
[SDAP],nr_sdap_tx_entity,end,5355763213 
[SDAP],sdap_data_req,end,5355763215 
[SDAP],sdap_data_req,start,5355763250 
[RLC],nr_rlc_entity_am_recv_sdu,start,5355763253 
[SDAP],nr_sdap_tx_entity,start,5355763256 
